xi,x
0,-4.9030129656167132
0.050000000000000711,-4.6106663574495839
0.10000000000000142,-4.8468962255407417
0.15000000000000036,-5.5665600316047863
0.20000000000000107,-6.7534177864734177
0.25,-8.3608830379567234
0.30000000000000071,-10.184561495866278
0.35000000000000142,-11.717762541469895
0.40000000000000036,-12.232533892665105
0.45000000000000107,-11.319556797336425
0.5,-9.3720563565284536
0.55000000000000071,-7.2432545833043926
0.60000000000000142,-5.569099015515639
0.65000000000000036,-4.5638538691261381
0.70000000000000107,-4.1928546652002971
0.75,-4.3652016014738573
0.80000000000000071,-5.0271882208090011
0.85000000000000142,-6.1743531331544963
0.90000000000000036,-7.8019063206261086
0.95000000000000107,-9.7798385302998128
1,-11.660626882649739
1.0500000000000007,-12.630228789513877
1.1000000000000014,-12.010126674485008
1.1500000000000004,-10.013019066458812
1.2000000000000011,-7.5955014836129733
1.25,-5.5894062232312312
1.3000000000000007,-4.3090533926809638
1.3500000000000014,-3.724858634544677
1.4000000000000004,-3.7147075550567288
1.4500000000000011,-4.1956404947643566
1.5,-5.1567603555731338
1.5500000000000007,-6.634030166081061
1.6000000000000014,-8.6221630279295471
1.6500000000000004,-10.882893623925792
1.7000000000000011,-12.705292404591415
1.75,-13.052470374975108
1.8000000000000007,-11.495117428296624
1.8500000000000014,-8.8277566759097397
1.9000000000000004,-6.2414681735488564
1.9500000000000011,-4.3868504755729552
2,-3.3440796637074799
2.0500000000000007,-2.9624498578993759
2.1000000000000014,-3.0919137308178786
2.1500000000000004,-3.6653490388745094
2.2000000000000011,-4.7050475186337533
2.25,-6.292250604470099
2.3000000000000007,-8.4785737352470658
2.3500000000000014,-11.064464323830761
2.4000000000000004,-13.255805784602444
2.4500000000000011,-13.74052492069317
2.5,-11.906266040421807
2.5500000000000007,-8.7571570118317776
2.6000000000000014,-5.7744675289197156
2.6500000000000004,-3.682268292584554
2.7000000000000011,-2.4965545055391716
2.75,-1.9864855905222503
2.8000000000000007,-1.9431457921989461
2.8500000000000014,-2.2584726530589414
2.9000000000000004,-2.9269722141535568
2.9500000000000011,-4.031826873144861
3,-5.7243628587916167
3.0500000000000007,-8.152802771442623
3.1000000000000014,-11.216564194187015
3.1500000000000004,-14.046267728887631
3.2000000000000011,-14.853220199585792
3.25,-12.60763240761916
3.3000000000000007,-8.6632655063139055
3.3500000000000014,-5.0329732578520767
